date (dd/mm/yy),19/01/2023
time (HH:MM:SS),08:09:39
author,root
description,tabletoprdc
sampling_rate [Hz],1000.0
signal 0,signal 1
-0.90582323,-0.0018131877
-0.90922177,-0.0018131877
-0.6116956,-0.0018131877
-0.22209999,-0.0015042301
0.022903424,-0.0015042301
0.10724886,-0.0015042301
0.15482834,-0.0018131877
0.21661986,-0.00057735713
0.38963616,-0.0008863148
0.9139373,-0.00026839948
0.95255697,4.055815e-05
0.95255697,0.0003495158
0.6500874,4.055815e-05
0.2994205,0.0003495158
0.049164824,4.055815e-05
-0.033326868,0.0003495158
-0.08677654,-0.00026839948
-0.15536514,4.055815e-05
-0.41365373,-0.00057735713
-0.8885216,-0.0008863148
-0.90211576,-0.0008863148
-0.91818154,-0.002431103
-0.6098418,-0.0011952724
-0.24341807,-0.0018131877
0.01425261,-0.0015042301
0.114354886,-0.0011952724
0.16131645,-0.0011952724
0.20704217,-0.0011952724
0.40106758,-0.0008863148
0.91084766,-0.00026839948
0.95626444,0.0003495158
0.94730467,0.0006584734
0.65595764,0.0003495158
0.2944772,0.0003495158
0.046075247,-0.00026839948
-0.03548957,4.055815e-05
-0.102224424,4.055815e-05
-0.15165764,4.055815e-05
-0.389864,-0.00057735713
-0.8934649,-0.0008863148
-0.9104576,-0.0018131877
-0.9061322,-0.0018131877
-0.60335374,-0.0021221454
-0.22364478,-0.0018131877
0.025066128,-0.0015042301
0.110647395,-0.0011952724
0.15977167,-0.0008863148
0.22249006,-0.0008863148
0.39488843,-0.0008863148
0.91022974,-0.00026839948
0.9581182,4.055815e-05
0.94915843,0.0006584734
0.6451441,0.00096743106
0.2994205,4.055815e-05
0.059360426,4.055815e-05
-0.041050807,0.0003495158
-0.09820797,-0.00026839948
-0.14362475,4.055815e-05
-0.4080925,4.055815e-05
-0.892847,-0.0015042301
-0.9197264,-0.0015042301
-0.91385615,-0.0015042301
-0.60397166,-0.0018131877
-0.22426268,-0.0018131877
0.02074072,-0.0015042301
0.11126531,-0.0011952724
0.15421042,-0.0011952724
0.21507508,-0.0015042301
0.390563,-0.0008863148
0.9123925,-0.00026839948
0.9500853,0.0003495158
0.9507032,0.0003495158
0.6525591,0.0006584734
0.295713,0.0003495158
0.047620036,-0.00026839948
-0.05155537,4.055815e-05
-0.082142174,4.055815e-05
-0.14640537,-0.00057735713
-0.41797912,-0.0008863148
-0.89222914,-0.0011952724
-0.8977904,-0.0011952724
-0.9141651,-0.0018131877
-0.5968656,-0.0018131877
-0.22951497,-0.0021221454
0.015179482,-0.0015042301
0.108793646,-0.0018131877
0.16378811,-0.0011952724
0.2258886,-0.0008863148
0.4075557,-0.00057735713
0.9219702,-0.00026839948
0.9627526,0.0003495158
0.9460689,0.0003495158
0.6426725,0.0006584734
0.28891596,0.0003495158
0.046384204,0.0006584734
-0.037961233,4.055815e-05
-0.09357361,0.0003495158
-0.15258452,4.055815e-05
-0.41859704,-0.00026839948
-0.8909933,-0.0011952724
-0.9039695,-0.0015042301
-0.9055143,-0.0015042301
-0.60551643,-0.0018131877
-0.21808353,-0.0018131877
0.023830296,-0.0015042301
0.11095635,-0.0015042301
0.14679544,-0.0008863148
0.21476611,-0.0008863148
0.40662882,-0.00057735713
0.92073435,4.055815e-05
0.95471966,0.0003495158
0.9482316,0.0003495158
0.63618433,4.055815e-05
0.29169658,0.0003495158
0.03557069,4.055815e-05
-0.04074185,4.055815e-05
-0.08893924,4.055815e-05
-0.15598305,4.055815e-05
-0.42817473,-0.0008863148
-0.88326937,-0.0011952724
-0.9169457,-0.0015042301
-0.9008799,-0.0015042301
-0.5922312,-0.0015042301
-0.2162298,-0.0018131877
0.022903424,-0.0015042301
0.11095635,-0.0015042301
0.16224332,-0.0011952724
0.20827802,-0.0011952724
0.41713336,-0.00057735713
0.92042536,-0.00026839948
0.96646005,0.0006584734
0.9383449,4.055815e-05
0.63618433,4.055815e-05
0.28737116,0.0006584734
0.05874251,0.0003495158
-0.037961233,4.055815e-05
-0.09079299,-0.00026839948
-0.15907262,-0.00026839948
-0.41797912,-0.00057735713
-0.8937739,-0.0011952724
-0.91138446,-0.0015042301
-0.90149784,-0.0015042301
-0.6067523,-0.0018131877
-0.21406709,-0.0018131877
0.017960101,-0.0011952724
0.10817573,-0.0015042301
0.16378811,-0.0011952724
0.21785569,-0.0015042301
0.40693778,-0.0008863148
0.9145552,-0.00026839948
0.9630615,0.0003495158
0.9500853,0.0003495158
0.63185894,0.0006584734
0.28459054,0.0003495158
0.042367756,0.0003495158
-0.046612047,0.0003495158
-0.09419152,0.0003495158
-0.15165764,4.055815e-05
-0.4306464,-0.00057735713
-0.88234246,-0.0015042301
-0.92837715,-0.0015042301
-0.9011889,-0.0015042301
-0.59655666,-0.0015042301
-0.2125223,-0.0011952724
0.021049678,-0.0011952724
0.108793646,-0.0011952724
0.15977167,-0.0018131877
0.22341694,-0.0011952724
0.42238566,-0.00057735713
0.9136283,4.055815e-05
0.95904505,0.0003495158
0.9510122,0.0003495158
0.638656,0.0003495158
0.27872035,4.055815e-05
0.045457333,0.0003495158
-0.04784788,4.055815e-05
-0.08863029,0.0003495158
-0.14949495,-0.00026839948
-0.43898824,-0.00057735713
-0.87987083,-0.0011952724
-0.92590547,-0.0018131877
-0.90211576,-0.0021221454
-0.59439397,-0.0021221454
-0.21437605,-0.0018131877
0.029391535,-0.0018131877
0.11651759,-0.0018131877
0.16347915,-0.0008863148
0.22372589,-0.0008863148
0.42702,-0.00057735713
0.9123925,-0.00026839948
0.9612078,4.055815e-05
0.9485405,0.0006584734
0.63154995,0.0003495158
0.26945162,0.0003495158
0.046075247,-0.00026839948
-0.048465792,4.055815e-05
-0.08646758,4.055815e-05
-0.1519666,-0.00057735713
-0.44393158,-0.00026839948
-0.87461853,-0.0015042301
-0.9184905,-0.0018131877
-0.90675014,-0.002431103
-0.58636105,-0.0018131877
-0.20974168,-0.0011952724
0.02321238,-0.0015042301
0.10632199,-0.0018131877
0.15699103,-0.0015042301
0.22496173,-0.0011952724
0.43536186,-0.00057735713
0.90590435,-0.00026839948
0.9683138,0.0003495158
0.94545096,0.0006584734
0.6207365,0.0006584734
0.27501285,0.0006584734
0.05101857,4.055815e-05
-0.04352247,4.055815e-05
-0.0972811,-0.00026839948
-0.1482591,-0.00057735713
-0.43280908,-0.00057735713
-0.878326,-0.00057735713
-0.93301153,-0.0018131877
-0.8937739,-0.0018131877
-0.5857431,-0.0011952724
-0.2168477,-0.0011952724
0.028464662,-0.0018131877
0.10910261,-0.0011952724
0.15853582,-0.0011952724
0.22774234,-0.0011952724
0.43845144,-0.0011952724
0.90899396,4.055815e-05
0.967078,-0.00026839948
0.9364912,0.0003495158
0.63247687,0.0006584734
0.281192,0.0003495158
0.038042348,0.0003495158
-0.03919706,0.0003495158
-0.09017507,4.055815e-05
-0.14980389,-0.00026839948
-0.45814362,-0.0008863148
-0.8761633,-0.0008863148
-0.9317757,-0.0011952724
-0.8980993,-0.0015042301
-0.5872879,-0.0021221454
-0.20850585,-0.0018131877
0.023830296,-0.0015042301
0.12238778,-0.0011952724
0.16378811,-0.0011952724
0.2243438,-0.0008863148
0.42362148,-0.0015042301
0.90157896,-0.00026839948
0.9772736,4.055815e-05
0.9460689,0.0003495158
0.6256798,0.0006584734
0.27717558,0.0003495158
0.043603584,0.0003495158
-0.051246412,-0.00026839948
-0.09882589,-0.00026839948
-0.15474722,-0.00026839948
-0.4532003,-0.00057735713
-0.8755454,-0.0008863148
-0.92559654,-0.0018131877
-0.9061322,-0.0018131877
-0.58327144,-0.0018131877
-0.20603418,-0.0018131877
0.031863194,-0.0018131877
0.11868029,-0.0011952724
0.16440602,-0.0015042301
0.22372589,-0.0008863148
0.43937832,-0.0008863148
0.90590435,-0.00026839948
0.97665566,-0.00026839948
0.9392718,4.055815e-05
0.62444395,4.055815e-05
0.2703785,0.0003495158
0.048855867,0.0003495158
-0.04352247,0.0003495158
-0.09326465,4.055815e-05
-0.15042181,4.055815e-05
-0.45381823,-0.00057735713
-0.8814156,-0.0015042301
-0.9268324,-0.0018131877
-0.90366054,-0.0021221454
-0.58110875,-0.0018131877
-0.1964565,-0.0011952724
0.033407982,-0.0015042301
0.11837134,-0.0011952724
0.16502394,-0.0011952724
0.2221811,-0.0011952724
0.43597978,-0.0008863148
0.90312374,-0.00057735713
0.9652242,0.0003495158
0.9361822,4.055815e-05
0.6235171,0.0003495158
0.28335473,0.0003495158
0.045457333,0.0003495158
-0.045685172,0.0006584734
-0.0994438,4.055815e-05
-0.156292,0.0003495158
-0.4649407,-0.00057735713
-0.8770902,-0.0011952724
-0.92868614,-0.0015042301
-0.89624554,-0.0018131877
-0.5882148,-0.0021221454
-0.19614755,-0.0011952724
0.0340259,-0.0011952724
0.11868029,-0.0015042301
0.16564186,-0.0011952724
0.21136759,-0.0011952724
0.4424679,-0.00057735713
0.91609997,4.055815e-05
0.98190796,0.0003495158
0.94328827,0.0006584734
0.61919165,4.055815e-05
0.26852474,0.0003495158
0.04051401,0.0003495158
-0.052173283,-0.00057735713
-0.100679636,-0.0008863148
-0.1556741,-0.00026839948
-0.45505404,-0.00026839948
-0.8792529,-0.0008863148
-0.92775923,-0.0015042301
-0.8937739,-0.0021221454
-0.5777102,-0.0018131877
-0.20047295,-0.0011952724
0.034643814,-0.0011952724
0.119916126,-0.0011952724
0.16656873,-0.0015042301
0.21878257,-0.0011952724
0.44277686,-0.0015042301
0.9136283,4.055815e-05
0.97665566,0.0003495158
0.9343285,0.0006584734
0.61270356,0.0006584734
0.2682158,4.055815e-05
0.025993,0.0003495158
-0.04784788,-0.00026839948
-0.09789901,-0.00026839948
-0.15474722,-0.00026839948
-0.46555862,4.055815e-05
-0.8811066,-0.0011952724
-0.92405176,-0.0018131877
-0.8956276,-0.0021221454
-0.5758565,-0.0018131877
-0.19831024,-0.0015042301
0.032172155,-0.0015042301
0.116208635,-0.0011952724
0.1610075,-0.0015042301
0.21476611,-0.0008863148
0.46131432,-0.00057735713
0.9130104,-0.0008863148
0.96862274,4.055815e-05
0.937727,4.055815e-05
0.6182648,0.0006584734
0.25307688,0.0006584734
0.028773619,4.055815e-05
-0.03981498,-0.00026839948
-0.095118396,4.055815e-05
-0.15320243,0.0003495158
-0.45937946,4.055815e-05
-0.88666785,-0.0008863148
-0.93084884,-0.0015042301
-0.885741,-0.0015042301
-0.572149,-0.0015042301
-0.19305797,-0.0015042301
0.028464662,-0.0011952724
0.11095635,-0.0011952724
0.16347915,-0.0008863148
0.21816465,-0.0008863148
0.44864705,-0.00026839948
0.9120835,-0.00026839948
0.97140336,4.055815e-05
0.9340195,0.0006584734
0.6102319,0.0006584734
0.25616646,0.0006584734
0.034643814,0.0003495158
-0.05001058,0.0006584734
-0.10098859,4.055815e-05
-0.15382035,0.0003495158
-0.46648547,-0.00026839948
-0.885741,-0.00057735713
-0.9342474,-0.0015042301
-0.88697684,-0.0018131877
-0.5736938,-0.0018131877
-0.19614755,-0.0015042301
0.024448212,-0.0015042301
0.1171355,-0.0018131877
0.17212996,-0.0015042301
0.21970944,-0.0008863148
0.4656397,-0.00057735713
0.9136283,-0.00026839948
0.9652242,0.0003495158
0.9355643,0.00096743106
0.6006542,0.00096743106
0.25184104,0.0006584734
0.03248111,0.0003495158
-0.050319538,4.055815e-05
-0.09326465,-0.00057735713
-0.16247116,0.0003495158
-0.45876154,-0.00057735713
-0.88481414,-0.0011952724
-0.9249786,-0.0015042301
-0.88265145,-0.0018131877
-0.56380713,-0.0018131877
-0.18286237,-0.0018131877
0.026610915,-0.0011952724
0.112192184,-0.0015042301
0.17120309,-0.0015042301
0.2200184,-0.0015042301
0.47367263,-0.00057735713
0.9120835,-0.00057735713
0.97387505,4.055815e-05
0.92814934,0.0003495158
0.609305,0.0006584734
0.25832915,0.0003495158
0.038042348,0.0003495158
-0.048156835,0.0003495158
-0.101915464,-0.00057735713
-0.1578368,-0.00057735713
-0.47637212,-0.00057735713
-0.88326937,-0.00057735713
-0.929304,-0.0015042301
-0.9008799,-0.0021221454
-0.55701005,-0.0015042301
-0.18996839,-0.0021221454
0.034334857,-0.0015042301
0.10786677,-0.0011952724
0.17614642,-0.0008863148
0.21013175,-0.0015042301
0.47336367,-0.0008863148
0.91764474,-0.00026839948
0.9726392,4.055815e-05
0.9287672,0.0003495158
0.6071423,0.0006584734
0.25369477,0.0003495158
0.02722883,4.055815e-05
-0.045376215,0.0003495158
-0.098516926,-0.00026839948
-0.15907262,4.055815e-05
-0.48409608,-0.00026839948
-0.87461853,-0.0008863148
-0.92312485,-0.0015042301
-0.8980993,-0.0018131877
-0.56936836,-0.0021221454
-0.18780568,-0.0018131877
0.04453046,-0.0011952724
0.11188322,-0.0011952724
0.16564186,-0.0011952724
0.2200184,-0.00057735713
0.47367263,-0.00026839948
0.91084766,4.055815e-05
0.97820044,0.0003495158
0.9210433,0.0003495158
0.5991094,0.0003495158
0.25153208,0.0003495158
0.039587136,4.055815e-05
-0.060206182,-0.00026839948
-0.091101944,4.055815e-05
-0.16185324,4.055815e-05
-0.484405,-0.00057735713
-0.8770902,-0.00057735713
-0.9490773,-0.0015042301
-0.8906843,-0.0018131877
-0.55793697,-0.0015042301
-0.17359364,-0.0015042301
0.037424434,-0.0021221454
0.11775342,-0.0018131877
0.16378811,-0.0011952724
0.21909152,-0.0015042301
0.46780244,-0.0008863148
0.9055954,-0.00026839948
0.97140336,4.055815e-05
0.94267035,0.00096743106
0.6012721,0.0006584734
0.24813354,0.0006584734
0.025375085,-0.00026839948
-0.054335985,4.055815e-05
-0.09264673,-0.00057735713
-0.15103973,-0.00026839948
-0.48224232,-0.00057735713
-0.88450515,-0.0015042301
-0.93270254,-0.0018131877
-0.89439183,-0.0015042301
-0.5533026,-0.0015042301
-0.1803907,-0.0018131877
0.030627364,-0.0015042301
0.110647395,-0.0015042301
0.1674956,-0.0015042301
0.22125423,-0.0008863148
0.4912832,-0.00057735713
0.91609997,4.055815e-05
0.97634673,0.0003495158
0.9312389,0.0006584734
0.594784,0.0003495158
0.24597085,0.0006584734
0.029082576,4.055815e-05
-0.05958827,4.055815e-05
-0.10346025,0.0003495158
-0.14795016,-0.00026839948
-0.48842147,-0.00026839948
-0.8882127,-0.0011952724
-0.93641007,-0.0015042301
-0.8916112,-0.0015042301
-0.5533026,-0.0018131877
-0.18348028,-0.0015042301
0.034643814,-0.0021221454
0.11898925,-0.0018131877
0.1610075,-0.0008863148
0.22156319,-0.0011952724
0.49004737,-0.00026839948
0.92042536,-0.00026839948
0.9769646,0.0003495158
0.9290762,0.00096743106
0.5944751,0.0003495158
0.24504396,0.0003495158
0.021667592,0.0003495158
-0.055880774,4.055815e-05
-0.10500504,4.055815e-05
-0.15042181,4.055815e-05
-0.484405,-0.0008863148
-0.89686346,-0.0011952724
-0.92559654,-0.0015042301
-0.8841962,-0.0021221454
-0.5533026,-0.0018131877
-0.17946383,-0.0015042301
0.035879645,-0.0015042301
0.11002948,-0.0018131877
0.16131645,-0.0011952724
0.22866921,-0.0008863148
0.4934459,-0.0008863148
0.91022974,4.055815e-05
0.9639884,0.0003495158
0.9355643,0.0006584734
0.59601986,0.0006584734
0.24195439,4.055815e-05
0.026301958,4.055815e-05
-0.046612047,4.055815e-05
-0.096354224,4.055815e-05
-0.15814576,-0.00057735713
-0.50665,-0.0008863148
-0.88728577,-0.0018131877
-0.94011754,-0.0015042301
-0.8733827,-0.0018131877
-0.55268466,-0.002431103
-0.17761008,-0.0018131877
0.03495277,-0.0018131877
0.11837134,-0.0015042301
0.16718665,-0.0015042301
0.22032736,-0.0008863148
0.4922101,-0.00057735713
0.9148641,4.055815e-05
0.99055874,0.0006584734
0.9216612,4.055815e-05
0.5895317,0.0003495158
0.23886481,4.055815e-05
0.025993,4.055815e-05
-0.057425562,-0.00026839948
-0.09789901,0.0003495158
-0.15227556,4.055815e-05
-0.49830812,-0.0011952724
-0.88666785,-0.0011952724
-0.93795484,-0.0011952724
-0.87987083,-0.0015042301
-0.5604086,-0.0021221454
-0.16895927,-0.0018131877
0.028155703,-0.0018131877
0.11682655,-0.0015042301
0.17645538,-0.0011952724
0.2119855,-0.0011952724
0.5024057,-0.00057735713
0.9099208,4.055815e-05
0.9794363,0.0003495158
0.9241329,0.0006584734
0.5743928,0.00096743106
0.23948273,4.055815e-05
0.026301958,0.0003495158
-0.053409114,4.055815e-05
-0.11272898,-0.00026839948
-0.15660097,-0.00057735713
-0.49460062,-0.0011952724
-0.8811066,-0.0015042301
-0.9317757,-0.0015042301
-0.8718379,-0.0018131877
-0.54959506,-0.0018131877
-0.18162653,-0.0021221454
0.03866026,-0.0015042301
0.11806238,-0.0011952724
0.15884478,-0.0015042301
0.22156319,-0.0011952724
0.5119834,-0.0011952724
0.9145552,-0.00026839948
0.9825259,0.0003495158
0.9337106,0.0006584734
0.5839705,4.055815e-05
0.24380814,0.0003495158
0.02753779,0.0003495158
-0.050319538,-0.00026839948
-0.1016065,0.0003495158
-0.156292,0.0003495158
-0.5220979,-0.0008863148
-0.88913953,-0.0011952724
-0.9413534,-0.0015042301
-0.87739915,-0.0018131877
-0.5486682,-0.0015042301
-0.17173989,-0.0015042301
0.036188602,-0.0011952724
0.115899675,-0.0018131877
0.16471498,-0.0011952724
0.22156319,-0.00057735713
0.49375486,-0.0008863148
0.9142462,0.0003495158
0.98129004,4.055815e-05
0.9096119,0.0003495158
0.579954,0.0003495158
0.24133648,0.0006584734
0.025375085,0.0006584734
-0.053409114,0.0003495158
-0.105622955,-0.00026839948
-0.16432491,4.055815e-05
-0.5128291,-0.00057735713
-0.8829604,-0.0008863148
-0.9391907,-0.0011952724
-0.88728577,-0.0015042301
-0.5483593,-0.0021221454
-0.17699218,-0.0011952724
0.04051401,-0.0015042301
0.121460915,-0.0015042301
0.17151205,-0.0008863148
0.21167654,-0.0011952724
0.51291025,-0.0008863148
0.9210433,4.055815e-05
0.98098105,0.0003495158
0.92722243,0.0003495158
0.5870601,0.0006584734
0.23701108,0.0003495158
0.02352134,4.055815e-05
-0.05526286,-0.00026839948
-0.10902149,-0.00026839948
-0.15690993,-0.00026839948
-0.5100485,-0.0008863148
-0.88388723,-0.0008863148
-0.93548316,-0.0011952724
-0.87739915,-0.0018131877
-0.53291136,-0.0018131877
-0.17452051,-0.0021221454
0.041131925,-0.0011952724
0.12424153,-0.0011952724
0.1755285,-0.0011952724
0.2243438,-0.0011952724
0.4912832,-0.0008863148
0.91331935,-0.00026839948
0.98036313,0.0006584734
0.92536867,0.0006584734
0.5750107,4.055815e-05
0.24195439,0.0003495158
0.029700492,0.0003495158
-0.053409114,4.055815e-05
-0.10840357,-0.00026839948
-0.15938158,-0.00026839948
-0.53074867,-0.0008863148
-0.8913022,-0.0008863148
-0.9462967,-0.0011952724
-0.8959366,-0.0021221454
-0.5366189,-0.0018131877
-0.17761008,-0.0018131877
0.042676713,-0.0011952724
0.121460915,-0.0018131877
0.17182101,-0.0011952724
0.22187215,-0.0008863148
0.50642216,-0.00057735713
0.9262956,-0.00026839948
0.9710944,0.0003495158
0.9164089,0.0006584734
0.5824257,0.0006584734
0.23701108,4.055815e-05
0.027846746,0.0003495158
-0.055571817,-0.00026839948
-0.10685878,-0.00026839948
-0.15690993,-0.00026839948
-0.5295128,-0.0008863148
-0.88388723,-0.0011952724
-0.93270254,-0.0011952724
-0.8770902,-0.002431103
-0.5393995,-0.0018131877
-0.16679657,-0.0018131877
0.038351305,-0.0018131877
0.12176987,-0.0018131877
0.16780455,-0.0008863148
0.22866921,-0.0011952724
0.52279687,-0.00057735713
0.92289704,4.055815e-05
0.98036313,4.055815e-05
0.9142462,0.0003495158
0.5700674,0.0003495158
0.24195439,0.0003495158
0.03371694,0.0006584734
-0.049083706,0.0003495158
-0.10346025,0.0003495158
-0.16123533,4.055815e-05
-0.53816366,-0.0008863148
-0.8900664,-0.0011952724
-0.94536984,-0.0015042301
-0.88944846,-0.0015042301
-0.5406353,-0.0018131877
-0.1658697,-0.0015042301
0.041131925,-0.0018131877
0.119916126,-0.0018131877
0.17182101,-0.0015042301
0.22125423,-0.0008863148
0.52248794,-0.0008863148
0.9077581,-0.00026839948
0.9720213,4.055815e-05
0.9194985,0.0006584734
0.57840925,0.0003495158
0.23423044,4.055815e-05
0.026919873,4.055815e-05
-0.05526286,4.055815e-05
-0.101915464,0.0003495158
-0.16710553,-0.00026839948
-0.5245695,-0.00057735713
-0.88326937,-0.0011952724
-0.9447519,-0.0018131877
-0.8841962,-0.0018131877
-0.5326024,-0.0018131877
-0.16185324,-0.0015042301
0.0340259,-0.0011952724
0.119916126,-0.0018131877
0.17800017,-0.0011952724
0.23361254,-0.0011952724
0.5329925,-0.0008863148
0.91084766,-0.00026839948
0.97820044,0.0003495158
0.9241329,0.0003495158
0.57779133,0.0006584734
0.23639315,0.0003495158
0.021976551,-0.00026839948
-0.055571817,4.055815e-05
-0.09789901,4.055815e-05
-0.15134868,4.055815e-05
-0.54743236,-0.0011952724
-0.88759476,-0.00057735713
-0.9462967,-0.0011952724
-0.8811066,-0.0018131877
-0.5378547,-0.0018131877
-0.15382035,-0.0015042301
0.04576629,-0.0015042301
0.11528176,-0.0018131877
0.1653329,-0.0011952724
0.22774234,-0.0008863148
0.528976,-0.0008863148
0.9049775,-0.00057735713
0.97171235,-0.00026839948
0.9167179,0.0006584734
0.57037634,0.0003495158
0.22619756,-0.00026839948
0.020431763,4.055815e-05
-0.051246412,-0.00026839948
-0.109639406,-0.00026839948
-0.1519666,4.055815e-05
-0.53754574,-0.00026839948
-0.88697684,-0.0011952724
-0.9543296,-0.0018131877
-0.8814156,-0.0008863148
-0.5220979,-0.0015042301
-0.15752783,-0.0015042301
0.037115477,-0.0018131877
0.11188322,-0.0015042301
0.17954496,-0.0015042301
0.22465277,-0.0011952724
0.5425702,-0.00057735713
0.9179537,-0.00026839948
0.9732571,4.055815e-05
0.9170268,4.055815e-05
0.5580181,0.00096743106
0.23670211,0.0003495158
0.030318407,4.055815e-05
-0.058661394,-0.00057735713
-0.10685878,4.055815e-05
-0.16185324,-0.00057735713
-0.55052197,-0.0008863148
-0.8879037,-0.0008863148
-0.936719,-0.0021221454
-0.8740006,-0.0015042301
-0.5261143,-0.0018131877
-0.15227556,-0.0018131877
0.04144088,-0.0015042301
0.121151954,-0.0021221454
0.17305684,-0.0018131877
0.21878257,-0.0011952724
0.53762686,-0.00026839948
0.9151731,4.055815e-05
0.98561543,0.0003495158
0.91331935,0.0003495158
0.5607987,0.0006584734
0.22681546,0.0003495158
0.021049678,0.0003495158
-0.05526286,0.0003495158
-0.11303794,0.0003495158
-0.16092637,-0.00026839948
